orderDate,totalAmount
2025-01-01,1130000.00
2025-01-02,1150000.00
2025-01-03,1270000.00
2025-01-04,1150000.00
2025-01-05,1280000.00
2025-01-06,1190000.00
2025-01-07,1230000.00
2025-01-08,1190000.00
2025-01-09,1230000.00
2025-01-10,1220000.00
2025-01-11,1230000.00
2025-01-12,1200000.00
2025-01-13,1240000.00
2025-01-14,1230000.00
2025-01-15,1275000.00
2025-01-16,1060000.00
2025-01-17,1110000.00
2025-01-18,1160000.00
2025-01-19,1210000.00
2025-01-20,1260000.00
2025-01-21,1310000.00
2025-01-22,1360000.00
2025-01-23,1410000.00
2025-01-24,1460000.00
2025-01-25,1510000.00
2025-01-26,1560000.00
2025-01-27,1610000.00
2025-01-28,1660000.00
2025-01-29,1710000.00
2025-01-30,1760000.00
2025-02-01,1400000.00
2025-02-02,1435000.00
2025-02-03,1470000.00
2025-02-04,1505000.00
2025-02-05,1540000.00
2025-02-06,1575000.00
2025-02-07,1610000.00
2025-02-08,1645000.00
2025-02-09,1680000.00
2025-02-10,1715000.00
2025-02-11,1750000.00
2025-02-12,1785000.00
2025-02-13,1820000.00
2025-02-14,1855000.00
2025-02-15,1890000.00
2025-02-16,1925000.00
2025-02-17,1960000.00
2025-02-18,1995000.00
2025-02-19,2030000.00
2025-02-20,2065000.00
2025-02-21,2100000.00
2025-02-22,2135000.00
2025-02-23,2170000.00
2025-02-24,2205000.00
2025-02-25,2240000.00
2025-02-26,2275000.00
2025-02-27,2310000.00
2025-02-28,2345000.00
2025-03-01,1400000.00
2025-03-02,1420000.00
2025-03-03,1440000.00
2025-03-04,1460000.00
2025-03-05,1480000.00
2025-03-06,1465000.00
2025-03-07,1445000.00
2025-03-08,1425000.00
2025-03-09,1405000.00
2025-03-10,1420000.00
2025-03-11,1440000.00
2025-03-12,1460000.00
2025-03-13,1480000.00
2025-03-14,1465000.00
2025-03-15,1445000.00
2025-03-16,1425000.00
2025-03-17,1405000.00
2025-03-18,1420000.00
2025-03-19,1440000.00
2025-03-20,1460000.00
2025-03-21,1480000.00
2025-03-22,1465000.00
2025-03-23,1445000.00
2025-03-24,1425000.00
2025-03-25,1405000.00
2025-03-26,1420000.00
2025-03-27,1440000.00
2025-03-28,1460000.00
2025-03-29,1480000.00
2025-03-30,1465000.00
2025-04-01,1350000.00
2025-04-02,1370000.00
2025-04-03,1390000.00
2025-04-04,1410000.00
2025-04-05,1430000.00
2025-04-06,1450000.00
2025-04-07,1470000.00
2025-04-08,1490000.00
2025-04-09,1510000.00
2025-04-10,1530000.00
2025-04-11,1550000.00
2025-04-12,1530000.00
2025-04-13,1510000.00
2025-04-14,1490000.00
2025-04-15,1470000.00
2025-04-16,1450000.00
2025-04-17,1430000.00
2025-04-18,1410000.00
2025-04-19,1390000.00
2025-04-20,1370000.00
2025-04-21,1350000.00
2025-04-22,1370000.00
2025-04-23,1390000.00
2025-04-24,1410000.00
2025-04-25,1430000.00
2025-04-26,1450000.00
2025-04-27,1470000.00
2025-04-28,1490000.00
2025-04-29,1510000.00
2025-04-30,1530000.00
2025-05-01,1450000.00
2025-05-02,1470000.00
2025-05-03,1490000.00
2025-05-04,1510000.00
2025-05-05,1530000.00
2025-05-06,1515000.00
2025-05-07,1495000.00
2025-05-08,1475000.00
2025-05-09,1455000.00
2025-05-10,1470000.00
2025-05-11,1490000.00
2025-05-12,1510000.00
2025-05-13,1530000.00
2025-05-14,1515000.00
2025-05-15,1495000.00
2025-05-16,1475000.00
2025-05-17,1455000.00
2025-05-18,1470000.00
2025-05-19,1490000.00
2025-05-20,1510000.00
2025-05-21,1530000.00
2025-05-22,1515000.00
2025-05-23,1495000.00
2025-05-24,1475000.00
2025-05-25,1455000.00
2025-05-26,1470000.00
2025-05-27,1490000.00
2025-05-28,1510000.00
2025-05-29,1530000.00
2025-05-30,1515000.00
2025-05-31,1495000.00
2025-06-01,1400000.00
2025-06-02,1420000.00
2025-06-03,1440000.00
2025-06-04,1460000.00
2025-06-05,1480000.00
2025-06-06,1500000.00
2025-06-07,1470000.00
2025-06-08,1450000.00
2025-06-09,1430000.00
2025-06-10,1450000.00
2025-06-11,1470000.00
2025-06-12,1490000.00
2025-06-13,1470000.00
2025-06-14,1450000.00
2025-06-15,1430000.00
2025-06-16,1440000.00
2025-06-17,1460000.00
2025-06-18,1480000.00
2025-06-19,1500000.00
2025-06-20,1490000.00
2025-06-21,1470000.00
2025-06-22,1450000.00
2025-06-23,1430000.00
2025-06-24,1440000.00
2025-06-25,1460000.00
2025-06-26,1480000.00
2025-06-27,1500000.00
2025-06-28,1480000.00
2025-06-29,1460000.00
2025-06-30,1450000.00
2025-07-01,1483200.00
2025-07-02,1498700.00
2025-07-03,1502400.00
2025-07-04,1511100.00
2025-07-05,1494300.00
2025-07-06,1509800.00
2025-07-07,1515200.00
2025-07-08,1498800.00
2025-07-09,1503100.00
2025-07-10,1510600.00
2025-07-11,1495200.00
2025-07-12,1509400.00
